Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states

1000 ; 1000 ; 547 ; 302 ; 3853 ; 24000
1000 ; 1000 ; 516 ; 309 ; 3749 ; 24000
1000 ; 1000 ; 527 ; 281 ; 3736 ; 24000
1000 ; 1000 ; 520 ; 283 ; 3689 ; 24000
1000 ; 1000 ; 526 ; 330 ; 3730 ; 24000
1000 ; 1000 ; 524 ; 302 ; 3723 ; 24000
1000 ; 1000 ; 534 ; 299 ; 3692 ; 24000
1000 ; 1000 ; 515 ; 311 ; 3712 ; 24000
1000 ; 1000 ; 533 ; 282 ; 3763 ; 24000
1000 ; 1000 ; 538 ; 313 ; 3791 ; 24000
2000 ; 1000 ; 580 ; 283 ; 4770 ; 24000
2000 ; 1000 ; 575 ; 327 ; 4667 ; 24000
2000 ; 1000 ; 590 ; 341 ; 4660 ; 24000
2000 ; 1000 ; 575 ; 300 ; 4755 ; 24000
2000 ; 1000 ; 572 ; 314 ; 4685 ; 24000
2000 ; 1000 ; 567 ; 309 ; 4731 ; 24000
2000 ; 1000 ; 594 ; 298 ; 4824 ; 24000
2000 ; 1000 ; 586 ; 293 ; 4799 ; 24000
2000 ; 1000 ; 572 ; 290 ; 4751 ; 24000
2000 ; 1000 ; 560 ; 302 ; 4680 ; 24000
1600 ; 1000 ; 553 ; 306 ; 4365 ; 24000
1600 ; 1000 ; 556 ; 323 ; 4358 ; 24000
1600 ; 1000 ; 554 ; 317 ; 4239 ; 24000
1600 ; 1000 ; 564 ; 287 ; 4407 ; 24000
1600 ; 1000 ; 541 ; 286 ; 4259 ; 24000
1600 ; 1000 ; 554 ; 280 ; 4344 ; 24000
1600 ; 1000 ; 560 ; 292 ; 4200 ; 24000
1600 ; 1000 ; 590 ; 321 ; 4361 ; 24000
1600 ; 1000 ; 563 ; 311 ; 4228 ; 24000
1600 ; 1000 ; 595 ; 295 ; 4317 ; 24000
1600 ; 1000 ; 537 ; 294 ; 4365 ; 24000
1600 ; 1000 ; 575 ; 294 ; 4388 ; 24000
1600 ; 1000 ; 582 ; 321 ; 4465 ; 24000
1600 ; 1000 ; 569 ; 313 ; 4375 ; 24000
1600 ; 1000 ; 558 ; 271 ; 4348 ; 24000
1600 ; 1000 ; 552 ; 306 ; 4414 ; 24000
1600 ; 1000 ; 551 ; 312 ; 4309 ; 24000
1600 ; 1000 ; 566 ; 312 ; 4321 ; 24000
1600 ; 1000 ; 544 ; 312 ; 4188 ; 24000
1600 ; 1000 ; 561 ; 303 ; 4286 ; 24000
5200 ; 1000 ; 675 ; 299 ; 5896 ; 24000
5200 ; 1000 ; 671 ; 319 ; 5864 ; 24000
5200 ; 1000 ; 650 ; 300 ; 5860 ; 24000
5200 ; 1000 ; 669 ; 285 ; 5950 ; 24000
5200 ; 1000 ; 658 ; 291 ; 5817 ; 24000
5200 ; 1000 ; 696 ; 317 ; 5921 ; 24000
5200 ; 1000 ; 621 ; 334 ; 5743 ; 24000
5200 ; 1000 ; 681 ; 305 ; 6029 ; 24000
