Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states
200 ; 1000 ; 691 ; 281 ; 6434 ; 24000
200 ; 1000 ; 669 ; 313 ; 6356 ; 24000
200 ; 1000 ; 687 ; 310 ; 6461 ; 24000
200 ; 1000 ; 701 ; 296 ; 6614 ; 24000
200 ; 1000 ; 670 ; 286 ; 6471 ; 24000
200 ; 1000 ; 683 ; 319 ; 6331 ; 24000
200 ; 1000 ; 712 ; 326 ; 6467 ; 24000
200 ; 1000 ; 677 ; 311 ; 6486 ; 24000
200 ; 1000 ; 691 ; 302 ; 6295 ; 24000
200 ; 1000 ; 682 ; 337 ; 6460 ; 24000
1000 ; 1000 ; 771 ; 320 ; 8806 ; 24000
1000 ; 1000 ; 798 ; 293 ; 8811 ; 24000
1000 ; 1000 ; 776 ; 329 ; 8926 ; 24000
1000 ; 1000 ; 801 ; 324 ; 8921 ; 24000
1000 ; 1000 ; 793 ; 301 ; 9010 ; 24000
1000 ; 1000 ; 780 ; 286 ; 8818 ; 24000
1000 ; 1000 ; 794 ; 311 ; 8921 ; 24000
1000 ; 1000 ; 807 ; 299 ; 8988 ; 24000
1000 ; 1000 ; 804 ; 298 ; 8974 ; 24000
1000 ; 1000 ; 786 ; 298 ; 8975 ; 24000
200 ; 1000 ; 662 ; 287 ; 6347 ; 24000
200 ; 1000 ; 673 ; 309 ; 6291 ; 24000
200 ; 1000 ; 676 ; 330 ; 6309 ; 24000
200 ; 1000 ; 663 ; 308 ; 6226 ; 24000
200 ; 1000 ; 669 ; 310 ; 6359 ; 24000
200 ; 1000 ; 678 ; 320 ; 6357 ; 24000
200 ; 1000 ; 670 ; 296 ; 6427 ; 24000
200 ; 1000 ; 675 ; 313 ; 6367 ; 24000
200 ; 1000 ; 667 ; 273 ; 6483 ; 24000
200 ; 1000 ; 676 ; 294 ; 6375 ; 24000
